"point_name","sch_time","feed_time"
"ISBT Kashmiri Gate - Opp DCP Office, Near Metro Station Gate No. 2","2023-11-22 17:45:00","2023-11-22 17:47:43"
"Anand Vihar - IntrCity Lounge - Metro Pillar No. 211, Next to EDM Mall, Opp Anand Vihar ISBT","2023-11-22 18:15:00","2023-11-22 18:13:45"
"Noida Stadium. - Noida Stadium Gate No. 2, Sector- 21","2023-11-22 18:45:00","2023-11-22 18:58:38"
"Noida Stadium - Noida Stadium Gate No. 2, Sector 21","2023-11-22 18:45:00","2023-11-22 18:58:38"
"Greater Noida - Zero Point, Greater Noida - Agra Expressway	","2023-11-22 19:20:00","2023-11-22 19:31:20"
"Mathura Toll Plaza - After Mathura Toll Plaza, Yamuna Expressway","2023-11-22 20:40:00","2023-11-22 20:49:15"
"Mathura Toll Plaza - After Mathura Toll Plaza, Yamuna Expressway","2023-11-22 20:40:00","2023-11-22 20:49:15"
"Mama Yadav Shiva Dhaba - Vrindavan (Dinner Break Arrival)","2023-11-22 20:45:00","2023-11-22 21:00:01"
"Mama Yadav Shiva Dhaba - Vrindavan (Dinner Break - 30 Minutes)","2023-11-22 20:50:00","2023-11-22 21:11:10"
"Mama Yadav Shiva Dhaba - Vrindavan (Dinner Break Departure)","2023-11-22 21:20:00","2023-11-22 21:47:37"
"Raya Cut - Yamuna Express Way, Towards Agra","2023-11-22 21:35:00","2023-11-22 21:48:17"
"Raya Cut - Yamuna Express Way, Towards Agra","2023-11-22 21:35:00","2023-11-22 21:48:17"
"Agra Toll Plaza - After Agra Toll Plaza, Yamuna Expressway","2023-11-22 22:10:00","2023-11-22 22:24:35"
"Agra Toll Plaza - After Agra Toll Plaza, Yamuna Expressway","2023-11-22 22:10:00","2023-11-22 22:24:35"
"Kuberpur - Near Kuberpur Cut, Taj Express Highway","2023-11-22 22:25:00","2023-11-22 22:37:52"
"Kuberpur - Near Kuberpur Cut, Taj Express Highway","2023-11-22 22:25:00","2023-11-22 22:37:52"
"Kannauj - Tirwa Cut, Towards Delhi, Taj Expressway","2023-11-23 01:20:00","2023-11-23 01:33:47"
"Kannauj - Tirwa Cut, Towards Delhi, Taj Expressway","2023-11-23 01:20:00","2023-11-23 01:33:47"
"Bangarmau - Bangarmau Cut, Taj Expressway","2023-11-23 02:00:00","2023-11-23 02:08:26"
"Bangarmau - Bangarmau Cut, Taj Expressway","2023-11-23 02:00:00","2023-11-23 02:08:26"
"Mohan Zero Point - Lucknow Toll Plaza, Revari","2023-11-23 02:35:00","2023-11-23 02:49:44"
"Nahariya Chauraha - IntrCity Lounge - Para Road, Near Singar Nagar Metro Station","2023-11-23 03:00:00","2023-11-23 03:09:46"
